ID   MARCA     PREÇO    PROCESSADOR     RAM       ARMAZENAMENTO
884  ASUS      1199€  AMD_RYZEN_5     12GB      400GB               
885  LG        599€   PENTIUM_G5400   4GB       2000GB              
886  LENOVO    549€   PENTIUM_G5400   4GB       2000GB              
887  ASUS      399€   INTEL_CORE_I7   8GB       1000GB              
888  ASUS      349€   AMD_RYZEN_7     4GB       700GB               
889  DELL      1499€  AMD_RYZEN_7     16GB      600GB               
890  TOSHIBA   649€   INTEL_CORE_I5   16GB      650GB               
891  DELL      349€   AMD_RYZEN_5     8GB       400GB               
892  LG        649€   AMD_RYZEN_7     4GB       350GB               
893  SAMSUNG   699€   AMD_RYZEN_3     4GB       700GB               
894  LG        949€   INTEL_CORE_I9   16GB      850GB               
895  ASUS      949€   INTEL_CORE_I9   12GB      750GB               
896  ACER      999€   INTEL_CORE_I9   4GB       900GB               
897  LENOVO    1299€  AMD_RYZEN_3     12GB      550GB               
898  DELL      399€   AMD_RYZEN_3     16GB      500GB               
899  INSYS     449€   INTEL_CORE_I3   16GB      400GB               
900  TOSHIBA   749€   AMD_RYZEN_7     16GB      400GB               
901  ACER      699€   INTEL_CORE_I5   16GB      900GB               
902  DELL      499€   INTEL_CORE_I7   8GB       350GB               
903  MICROSOFT 399€   PENTIUM_G5400   16GB      1000GB              
904  HP        799€   INTEL_CORE_I9   8GB       650GB               
905  SAMSUNG   449€   INTEL_CORE_I9   4GB       600GB               
906  LG        449€   INTEL_CORE_I3   12GB      1000GB              
907  ASUS      399€   AMD_RYZEN_5     12GB      650GB               
908  MICROSOFT 499€   PENTIUM_G5400   16GB      450GB               
909  MICROSOFT 949€   INTEL_CORE_I7   4GB       2000GB              
910  LG        1199€  INTEL_CORE_I9   4GB       400GB               
911  DELL      749€   INTEL_CORE_I3   16GB      2000GB              
912  MSI       1099€  INTEL_CORE_I9   4GB       600GB               
913  LG        749€   INTEL_CORE_I3   16GB      850GB               
914  LG        599€   INTEL_CORE_I3   12GB      750GB               
915  ACER      1399€  INTEL_CORE_I9   4GB       750GB               
916  INSYS     849€   INTEL_CORE_I9   16GB      950GB               
917  MSI       1499€  AMD_RYZEN_7     4GB       850GB               
918  MICROSOFT 899€   AMD_RYZEN_5     8GB       300GB               
919  INSYS     349€   AMD_RYZEN_5     16GB      250GB               
920  MSI       599€   INTEL_CORE_I3   4GB       600GB               
921  LG        1299€  AMD_RYZEN_3     16GB      850GB               
922  SAMSUNG   449€   AMD_RYZEN_7     4GB       650GB               
923  HP        449€   AMD_RYZEN_3     16GB      1500GB              
924  ASUS      549€   INTEL_CORE_I9   12GB      1500GB              
925  MSI       1299€  INTEL_CORE_I3   4GB       800GB               
926  INSYS     399€   INTEL_CORE_I3   16GB      450GB               
927  INSYS     549€   INTEL_CORE_I9   8GB       700GB               
928  ASUS      599€   INTEL_CORE_I5   12GB      700GB               
929  LG        299€   INTEL_CORE_I3   4GB       600GB               
930  ACER      999€   INTEL_CORE_I3   16GB      1000GB              
931  HP        449€   INTEL_CORE_I7   8GB       650GB               
932  LG        699€   AMD_RYZEN_3     16GB      500GB               
933  ASUS      1299€  AMD_RYZEN_7     4GB       500GB               
934  MICROSOFT 1399€  INTEL_CORE_I5   12GB      450GB               
935  TOSHIBA   299€   INTEL_CORE_I9   12GB      950GB               
936  INSYS     699€   INTEL_CORE_I3   4GB       300GB               
937  TOSHIBA   549€   PENTIUM_G5400   4GB       750GB               
938  LG        899€   PENTIUM_G5400   4GB       1500GB              
939  ACER      1099€  INTEL_CORE_I5   4GB       350GB               
940  LG        849€   PENTIUM_G5400   12GB      850GB               
941  HP        749€   INTEL_CORE_I9   16GB      250GB               
942  INSYS     899€   PENTIUM_G5400   16GB      850GB               
943  ASUS      799€   INTEL_CORE_I3   8GB       600GB               
944  LENOVO    449€   AMD_RYZEN_5     12GB      400GB               
945  INSYS     949€   INTEL_CORE_I9   8GB       300GB               
946  MSI       899€   AMD_RYZEN_7     4GB       600GB               
947  SAMSUNG   599€   INTEL_CORE_I5   8GB       1500GB              
948  LG        1499€  AMD_RYZEN_7     12GB      1000GB              
949  SAMSUNG   649€   AMD_RYZEN_3     4GB       350GB               
950  DELL      1499€  INTEL_CORE_I3   12GB      950GB               
951  HP        299€   AMD_RYZEN_7     4GB       950GB               
952  INSYS     599€   AMD_RYZEN_3     8GB       900GB               
953  INSYS     499€   INTEL_CORE_I7   4GB       900GB               
954  MICROSOFT 749€   AMD_RYZEN_5     12GB      400GB               
955  ACER      549€   AMD_RYZEN_7     12GB      950GB               
956  INSYS     349€   INTEL_CORE_I3   12GB      1500GB              
957  MICROSOFT 599€   INTEL_CORE_I7   16GB      950GB               
958  MSI       1099€  AMD_RYZEN_5     12GB      900GB               
959  LENOVO    899€   PENTIUM_G5400   12GB      400GB               
960  INSYS     749€   INTEL_CORE_I5   12GB      750GB               
961  ACER      749€   INTEL_CORE_I3   8GB       750GB               
962  ACER      749€   AMD_RYZEN_3     4GB       450GB               
963  LG        349€   AMD_RYZEN_5     4GB       450GB               
964  ASUS      799€   AMD_RYZEN_3     12GB      650GB               
965  ASUS      749€   INTEL_CORE_I9   16GB      600GB               
966  INSYS     349€   AMD_RYZEN_5     16GB      250GB               
967  INSYS     1399€  AMD_RYZEN_3     4GB       350GB               
968  TOSHIBA   349€   AMD_RYZEN_3     4GB       1000GB              
969  HP        1099€  AMD_RYZEN_3     12GB      350GB               
970  MICROSOFT 1099€  INTEL_CORE_I3   16GB      900GB               
971  ASUS      499€   INTEL_CORE_I5   16GB      250GB               
972  DELL      649€   INTEL_CORE_I3   4GB       700GB               
973  LG        599€   AMD_RYZEN_3     12GB      900GB               
974  INSYS     899€   INTEL_CORE_I3   4GB       300GB               
975  MICROSOFT 749€   INTEL_CORE_I7   4GB       550GB               
976  HP        599€   AMD_RYZEN_7     12GB      2000GB              
977  DELL      1499€  INTEL_CORE_I9   4GB       300GB               
978  ACER      449€   AMD_RYZEN_3     12GB      500GB               
979  LG        499€   INTEL_CORE_I7   16GB      700GB               
980  TOSHIBA   699€   PENTIUM_G5400   12GB      450GB               
981  ASUS      599€   INTEL_CORE_I5   16GB      450GB               
982  TOSHIBA   349€   INTEL_CORE_I7   8GB       800GB               
983  LENOVO    849€   INTEL_CORE_I3   4GB       300GB               
984  TOSHIBA   649€   AMD_RYZEN_7     16GB      300GB               
985  HP        749€   INTEL_CORE_I9   4GB       550GB               
986  LG        1299€  AMD_RYZEN_5     16GB      2000GB              
987  SAMSUNG   499€   PENTIUM_G5400   12GB      2000GB              
988  MSI       1199€  INTEL_CORE_I5   4GB       1000GB              
989  MICROSOFT 349€   INTEL_CORE_I3   12GB      750GB               
990  LG        399€   AMD_RYZEN_3     12GB      700GB               
991  SAMSUNG   1199€  INTEL_CORE_I9   12GB      1000GB              
992  MICROSOFT 549€   AMD_RYZEN_3     8GB       2000GB              
993  HP        1199€  PENTIUM_G5400   4GB       2000GB              
994  INSYS     399€   AMD_RYZEN_7     4GB       350GB               
995  HP        999€   AMD_RYZEN_5     16GB      500GB               
996  ACER      399€   AMD_RYZEN_3     4GB       1000GB              
997  DELL      999€   AMD_RYZEN_7     12GB      350GB               
998  MSI       549€   PENTIUM_G5400   4GB       500GB               
999  MICROSOFT 949€   INTEL_CORE_I3   4GB       1000GB              
1000 MICROSOFT 999€   AMD_RYZEN_3     12GB      700GB               
